trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.8869204367171575, 'e': 0.30119421191220214}",20,0,19.347773325971573,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.8860339595928756, 'e': 0.2981972794298874}",25,16,8.07789449772018,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.8851483685026271, 'e': 0.2952301669240142}",20,5,16.358194072253667,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.8842636625608209, 'e': 0.2922925776808594}",25,0,-50.061651516494486,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
124,False,"{'a': 0.8833798408827509, 'e': 0.28938421793905067}",20,0,-0.683411443675539,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
125,False,"{'a': 0.8824969025845955, 'e': 0.28650479686019015}",30,13,2.3973301163290373,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.8816148467834161, 'e': 0.2836540264997704}",20,0,-2.8294060330942843,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.880733672597157, 'e': 0.2808316217783798}",20,9,19.181240879451924,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8798533791446438, 'e': 0.27803730045319414}",25,13,15.32889734183832,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8789739655455832, 'e': 0.27527078308975234}",25,18,10.433473509846243,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.8780954309205613, 'e': 0.2725317930340126}",25,16,2.5739204729408,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.8772177743910435, 'e': 0.26982005638468687}",20,4,6.60614894114016,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
